uid,brand,year,model,title,usedOrNew,transmission,engine,driveType,fuelType,fuelConsumption,kilometres,cylindersInEngine,bodyType,suburb,state,doors,seats,extColour,intColour,price
499a3c7a-5224-40eb-af6b-5149bebf30d6,Toyota,2013,Hilux,SR,USED,Manual,3.0,Rear,Diesel,8.1,345194,4.0,Ute / Tray,Blacktown,NSW,4,5,White,Grey,12990
3c021cad-8cc3-4f62-9628-aa7889aee234,Toyota,2016,Hilux,SR (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,166000,4.0,Ute / Tray,Wangara,WA,4,5,Blue,Black,39990
9cbf678c-afc4-4667-a1f9-20b1da55be70,Toyota,2022,Kluger,Grande Hybrid AWD,USED,Automatic,2.5,AWD,Hybrid,5.6,46011,4.0,SUV,Pennant Hills,NSW,5,7,Grey,Black,77777
8d4835ae-f91e-4a8a-9c97-a94b1f3a21c3,Toyota,2018,Hilux,SR (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,86315,4.0,Ute / Tray,Bassendean,WA,4,5,White,Black Fabric,43990
956d2c4d-162d-46e6-b464-eb5c342f9eaf,Toyota,2020,GR,Yaris GR,USED,Manual,1.6,AWD,Premium,7.6,40024,3.0,Hatchback,Albion Park Rail,NSW,3,4,White,Silver,45990
1d5bc4e4-8001-4cdc-af0d-9c4eb528f610,Toyota,2002,Landcruiser,Prado GXL (4X4),USED,Automatic,3.0,4WD,Diesel,0.0,433260,4.0,SUV,Hamilton,NSW,4,8,White,Grey,10990
6d4c5c5d-f674-4d30-b743-714358862f25,Toyota,2018,Corolla,Ascent Sport,USED,Automatic,2.0,Front,Unleaded,6.0,82509,4.0,Hatchback,Lansvale,NSW,5,5,Red,Grey,23999
e480e2f7-25ff-47d2-b810-2ba403c616fb,Toyota,2020,RAV4,Cruiser AWD Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,42998,4.0,SUV,Artarmon,NSW,5,5,Silver,Black,53888
86d23415-0875-46c5-b91b-926a01b965b7,Toyota,2023,Fortuner,Crusade,USED,Automatic,2.8,4WD,Diesel,7.6,19,4.0,SUV,Midland,WA,4,7,Silver,Black Leather Accented,79990
f6c3785c-05a0-4487-b924-8db2836fb107,Toyota,2005,Landcruiser,Prado Grande (4X4),USED,Automatic,3.0,4WD,Diesel,12.6,299451,4.0,SUV,Chipping Norton,NSW,4,8,Black,Grey,22880
a092ab2b-a7b7-47f8-bf45-d1a071eece10,Toyota,2010,HiAce,LWB,USED,Manual,3.0,Rear,Diesel,8.6,326893,4.0,Commercial,Edgewater,WA,4,3,White,Grey,19985
db2d551f-b6f5-4488-872f-104e8e674eb1,Toyota,2023,RAV4,GXL (awd) Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,182,4.0,SUV,Castle Hill,NSW,5,5,Black,Black,64990
8a8048f8-588b-4e99-b73b-afb69b4735d3,Toyota,1999,Landcruiser,(4X4),USED,Manual,4.2,4WD,Diesel,0.0,41750,6.0,Ute / Tray,Lidcombe,NSW,2,3,Red,Grey,48999
c45fba7f-7d31-4ff6-8f3d-339ae8d1afa2,Toyota,2021,Camry,Ascent Sport Hybrid,USED,Automatic,2.5,Front,Hybrid,4.5,2030,4.0,Sedan,Albion Park,NSW,4,5,White,2Zfa20,46990
1c2b060d-d79d-479c-8116-d6bf6f274c98,Toyota,2019,C-HR,Koba (2WD),USED,Automatic,1.2,Front,Premium,6.4,59750,4.0,SUV,Dudley Park,WA,5,5,Silver,Black,33900
1386bf50-6e77-48df-8ae0-03723dc293b3,Toyota,2021,Hilux,Rogue (4X4),USED,Automatic,2.8,4WD,Diesel,8.4,56417,4.0,Ute / Tray,Albion Park,NSW,4,5,Grey,2Lle21,68990
0bee00ad-bc60-4f60-a98b-b67eff48469c,Toyota,2021,Kluger,GXL Hybrid AWD,USED,Automatic,2.5,AWD,Hybrid,5.6,48832,4.0,SUV,Albion Park,NSW,5,7,Grey,9Meb20,64990
79db4fcb-940b-45d1-b89b-9916387ab378,Toyota,2023,Landcruiser,LC300 Sahara ZX (4X4),USED,Automatic,3.3,4WD,Diesel,8.9,750,6.0,SUV,Maddington,WA,4,5,White,Black Leather Accented,162888
5c27d25a-6600-4947-b65b-46e3aa2f6b80,Toyota,2017,HiAce,LWB,USED,Automatic,3.0,Rear,Diesel,8.7,160331,4.0,Commercial,Lidcombe,NSW,4,2,White,Grey,34995
4fd53a5b-ffa9-4c91-9f03-2881c5cb2913,Toyota,2021,Landcruiser,LC300 VX (4X4),USED,Automatic,3.3,4WD,Diesel,8.9,21799,6.0,SUV,Midland,WA,4,7,Black,Black Synthetic Leather,126990
1e9920bd-2a44-4ae1-874c-33694ae6db84,Toyota,2007,Corolla,Ascent,USED,Automatic,1.8,Front,Unleaded,7.4,236946,4.0,Sedan,Kirrawee,NSW,4,5,Silver,Cloth,8880
